MDGRENT,B25064e1,,,,,,,,,,,,,,,
MEDAGE,B01002e1,,,,,,,,,,,,,,,
MHSEVAL,B25077e1,,,,,,,,,,,,,,,
PERCAP,B19301e1,,,,,,,,,,,,,,,
PPUNIT,B25008e1,B25007e1,,,,,,,,,,,,,,
QAGEDEP,B01001e3,B01001e27,B09020e1,B01003e1,,,,,,,,,,,,
QASIAN,B02001e5,B01003e1,,,,,,,,,,,,,,
QBLACK,B02001e3,B01003e1,,,,,,,,,,,,,,
QCVLUN,B23025e5,B23025e2,,,,,,,,,,,,,,
QED12LES,B15003e16,B15003e15,B15003e14,B15003e13,B15003e12,B15003e11,B15003e10,B15003e9,B15003e8,B15003e7,B15003e6,B15003e5,B15003e4,B15003e3,B15003e2,B15003e1
QESL,C16002e4,C16002e7,C16002e10,C16002e13,C16002e1,,,,,,,,,,,
QEXTRCT,C24010e34,C24010e70,C24010e30,C24010e66,C24010e1,,,,,,,,,,,
QFAM,B09002e3,B09002e4,B09002e5,B09002e6,B09002e7,B09002e1,,,,,,,,,,
QFEMALE,B01001e26,B01003e1,,,,,,,,,,,,,,
QFEMLBR,C24010e38,C24010e1,,,,,,,,,,,,,,
QFHH,B09002e15,B09002e1,,,,,,,,,,,,,,
QHISP,B03003e3,B01003e1,,,,,,,,,,,,,,
QMOHO,B25033e12,B25033e6,B25033e1,,,,,,,,,,,,,
QNATAM,B02001e4,B01003e1,,,,,,,,,,,,,,
QNOAUTO,B25044e3,B25044e10,B25007e1,,,,,,,,,,,,,
QNRRES,B09020e21,B09020e1,,,,,,,,,,,,,,
QPOVTY,B17021e2,B01003e1,,,,,,,,,,,,,,
QRENTER,B25056e1,B25007e1,,,,,,,,,,,,,,
QRICH200K,B19001e17,C16002e1,,,,,,,,,,,,,,
QSERV,C24010e19,C24010e55,C24010e1,,,,,,,,,,,,,
QSSBEN,B19055e2,C16002e1,,,,,,,,,,,,,,
QUNOCCHU,B25002e3,B25002e1,,,,,,,,,,,,,,
